"STONYFORD BELFAST WW",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,6231,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,,,,,,,,2.60,1.89,2.38,,
February,,,,,,,,1.36,0.69,2.38,,
March,,,,,,,,1.36,4.90,2.99,,
April,,,,,,,,1.91,1.92,4.17,,
May,,,,,,,,3.13,2.90,2.15,,
June,,,,,,,,0.86,4.37,0.42,,
July,,,,,,,,2.95,5.30,4.13,,
August,,,,,,,,3.43,3.65,8.38,,
September,,,,,,,,3.72,1.62,2.61,,
October,,,,,,,,1.74,1.05,3.92,,
November,,,,,,,,3.33,5.53,1.73,,
December,,,,,,,,2.39,2.81,3.10,,
Total,,,,,,,,28.78,36.63,38.36,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.78,36.63,38.36,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
