WASHINGTON USWORTH VILLAGE SCHOOL,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR7499,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,2.45,1.23,2.59,3.69,1.60,1.87,0.86,,,,,
February,2.35,0.56,2.51,0.56,1.07,2.64,2.75,,,,,
March,0.61,1.94,1.82,2.11,1.72,2.01,3.37,,,,,
April,2.24,1.38,0.11,3.00,0.39,0.52,1.45,,,,,
May,2.14,0.73,2.51,2.21,1.17,2.07,2.15,,,,,
June,1.63,4.54,4.05,1.17,3.88,0.59,1.94,,,,,
July,2.59,0.81,3.04,0.80,3.27,1.98,2.76,,,,,
August,3.03,2.16,4.42,1.15,1.44,2.07,2.64,,,,,
September,0.64,1.91,1.79,3.30,1.71,1.74,0.93,,,,,
October,3.48,2.27,3.30,1.58,1.66,1.08,2.54,,,,,
November,3.11,3.62,1.71,0.96,3.22,1.93,2.40,,,,,
December,1.63,2.80,1.51,1.01,2.61,5.44,3.06,,,,,
Total,25.90,23.95,29.36,21.54,23.74,23.94,26.85,,,,,
Calc annual,25.90,23.95,29.36,21.54,23.74,23.94,26.85,0.00,0.00,0.00,,
Difference,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
