LOCH AVICH (CREAG LOISGTE),,,,,,,,,,
Grid ref,NM934163,Long,-5.340211,Lat,56.294005,Elevation,945,ft,,
Station no,5407/1/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,4.52,6.8,12.54,8.7,3.51,5.7
February,,,,,3.25,2.7,3.94,4.09,4.01,8.1
March,,,,,1.54,4.4,9.5,2.63,6.29,2.28
April,,,,,6.44,4.1,3.65,3.21,6.97,7.6
May,,,,,3.56,6.77,2,6.1,2.23,4.73
June,,,,,6.04,4.35,6.34,3.47,4.84,7.97
July,,,,,0.55,7.95,6.15,4.92,12.02,6.05
August,,,,,2.3,6.4,8.24,7.8,5.29,4.76
September,,,,,13.7,6.09,4.88,5.23,3.9,6.41
October,,,,,9.02,6.9,13.2,8.76,11.05,3.82
November,,,,,4.02,6.13,4.06,4.56,10.74,11.28
December,,,,,11.44,12.43,9.76,7.5,12.49,13.06
Total,,,,,66.38,75.02,84.26,66.97,83.34,81.76
,,,,,,,,,,
Station no,5407/1/2,,,,,,,,,
Midas,13923,,,,,,,,,
Hyd Stn,684730,,,,,,,,,
