CONNEL (LEDAIG),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5398/7,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,,,,7.40,5.76,9.94,4.42,8.04,7.79,6.10,,
February,,,,2.33,9.00,4.90,0.12,6.11,7.22,6.98,,
March,,,,2.11,5.45,3.13,1.83,5.49,3.83,3.28,,
April,,,,3.75,2.41,3.69,7.63,4.47,7.06,4.43,,
May,,,,4.43,4.27,1.29,3.45,1.78,2.81,1.82,,
June,,,,4.46,5.29,4.73,4.91,4.67,2.18,5.05,,
July,,,3.47,2.26,4.09,4.74,5.55,4.52,2.79,6.25,,
August,,,7.08,4.51,3.50,7.05,0.18,5.18,6.45,6.72,,
September,,,4.85,5.21,7.45,6.74,7.61,9.11,2.77,9.81,,
October,,,12.76,6.46,5.13,0.47,5.57,9.92,6.89,6.73,,
November,,,4.86,6.42,0.50,4.89,9.42,5.07,7.86,100.00,,
December,,,5.05,6.92,5.31,6.43,3.16,8.08,10.65,100.00,,
Total,,,,56.26,58.16,58.00,53.85,72.44,68.30,100.00,,
Calc annual,0.00,0.00,38.07,56.26,58.16,58.00,53.85,72.44,68.30,257.17,,
Difference,NaN,NaN,NaN,-0.00,-0.00,0.00,-0.00,0.00,-0.00,-157.17,,
