"WELLINGTON ROAD BIRMINGHAM",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,,
January,,,,2.21,3.51,0.47,3.16,3.11,0.89,1.58,,
February,,,,0.90,1.08,1.77,2.13,1.49,1.07,2.02,,
March,,,,1.41,0.64,1.90,1.31,2.21,1.32,2.21,,
April,,,,1.71,0.42,0.81,2.60,2.60,4.02,2.47,,
May,,,,1.52,1.71,1.52,3.11,1.28,2.33,1.35,,
June,,,,4.47,1.62,2.74,2.47,3.22,3.79,3.09,,
July,,,,4.08,4.03,5.13,1.71,2.10,2.89,1.95,,
August,,,,2.72,2.20,1.58,5.76,3.44,2.82,3.48,,
September,,,,2.33,0.91,0.72,3.37,3.46,2.63,2.90,,
October,,,,4.04,1.32,5.03,3.36,2.48,3.07,3.03,,
November,,,,2.01,1.82,0.94,1.37,1.53,0.76,3.05,,
December,,,,1.22,1.95,1.06,2.61,0.75,2.13,2.63,,
Total,,,,28.62,21.21,23.67,32.96,27.67,27.72,29.76,,
Calc annual,0.00,0.00,0.00,28.62,21.21,23.67,32.96,27.67,27.72,29.76,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
