IWERNE MINSTER HOUSE GARDENS,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6067,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,3.88,1.46,5.18,6.60,0.76,,,,,,,
February,5.07,1.77,3.09,1.07,4.87,,,,,,,
March,1.07,2.87,5.68,3.61,4.64,,,,,,,
April,2.32,2.11,0.12,3.31,1.26,,,,,,,
May,1.89,1.36,1.32,3.40,1.73,,,,,,,
June,4.54,2.85,4.62,0.78,1.31,,,,,,,
July,3.12,0.23,4.13,0.85,4.99,,,,,,,
August,2.66,0.66,7.37,1.98,3.35,,,,,,,
September,0.19,1.52,2.19,3.93,1.93,,,,,,,
October,4.74,3.00,5.00,3.74,3.16,,,,,,,
November,4.40,3.42,2.03,3.71,6.27,,,,,,,
December,8.07,10.79,4.81,2.03,8.58,,,,,,,
Total,41.95,32.04,45.54,35.01,42.85,,,,,,,
Calc annual,41.95,32.04,45.54,35.01,42.85,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
