"LONG STRATTON FRITTON RECTORY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4414,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,2.32,2.00,2.37,2.58,1.67,3.23,1.68,1.84,,,,
February,1.97,1.47,1.24,0.82,1.77,3.19,3.85,,,,,
March,1.02,2.38,2.21,1.92,3.44,1.66,3.27,,,,,
April,2.14,1.18,0.40,2.15,0.71,1.00,2.14,,,,,
May,4.31,1.49,0.75,1.39,1.39,2.02,2.95,,,,,
June,1.37,2.48,2.59,0.80,1.40,1.67,2.97,,,,,
July,4.76,0.87,3.47,2.57,2.85,5.02,0.77,,,,,
August,1.56,0.34,9.97,1.23,1.06,2.64,2.55,,,,,
September,1.42,1.80,2.62,1.66,1.44,1.56,1.11,,,,,
October,1.48,2.98,2.00,3.24,2.13,1.19,2.55,,,,,
November,3.56,3.21,2.87,2.52,3.18,2.62,2.60,,,,,
December,4.42,3.81,2.48,0.49,5.55,3.55,3.13,,,,,
Total,30.33,24.01,32.97,21.37,26.59,29.35,29.57,,,,,
Calc annual,30.33,24.01,32.97,21.37,26.59,29.35,29.57,1.84,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
