"HAWICK LADYLAW",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR3041,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,4.33,1.90,1.68,1.34,3.57,2.53,1.28,1.35,1.00,3.57,,
February,1.07,0.10,2.31,3.64,5.91,0.89,1.66,1.67,1.73,2.16,,
March,2.00,3.30,1.18,0.91,1.99,3.76,2.83,4.17,1.37,2.83,,
April,0.77,1.08,1.05,0.71,1.18,1.66,1.06,1.51,2.41,2.24,,
May,1.81,1.34,3.46,2.05,5.15,1.07,0.70,1.90,2.44,2.59,,
June,2.45,1.08,3.32,2.36,2.97,1.21,2.38,3.35,1.60,1.06,,
July,2.35,3.12,2.31,2.53,2.08,5.90,4.07,3.03,0.67,3.83,,
August,3.98,5.36,4.86,2.94,4.59,3.72,2.03,4.70,2.20,0.39,,
September,1.85,5.56,2.30,1.13,1.05,0.45,5.32,2.60,1.37,3.19,,
October,1.66,2.95,3.95,2.76,2.84,5.49,5.28,2.19,4.05,1.76,,
November,5.40,2.62,2.04,2.18,3.65,4.43,0.97,2.70,4.30,3.97,,
December,1.63,6.31,1.17,4.29,2.52,2.66,5.34,4.75,5.01,1.37,,
Total,29.30,34.72,29.63,26.84,37.50,33.77,32.92,33.92,28.15,28.96,,
Calc annual,29.30,34.72,29.63,26.84,37.50,33.77,32.92,33.92,28.15,28.96,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
