"KIBWORTH HARCOURT",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,1.60,1.11,3.61,1.19,2.04,2.59,1.42,3.57,1.29,,,
February,1.85,1.46,1.96,1.47,1.79,1.39,2.52,2.14,1.44,,,
March,0.68,1.08,1.78,1.88,0.91,0.70,2.79,1.98,0.71,,,
April,0.64,3.89,2.39,0.81,1.15,1.09,2.84,2.72,1.91,,,
May,0.94,0.87,2.29,2.21,1.18,1.81,0.49,2.05,4.79,,,
June,0.71,3.78,4.56,4.29,0.82,5.26,2.24,0.82,1.79,,,
July,1.09,3.98,4.91,2.26,0.66,6.97,0.64,2.53,1.44,,,
August,2.02,0.89,3.89,2.95,2.36,2.58,2.67,3.56,5.11,,,
September,1.32,4.29,2.02,1.42,2.92,3.09,4.74,1.45,2.08,,,
October,3.75,1.33,3.97,1.85,2.31,6.27,2.94,1.15,2.32,,,
November,1.70,0.91,3.29,1.73,2.00,4.15,3.29,2.79,3.14,,,
December,2.39,1.15,3.48,0.47,1.57,1.19,5.41,1.83,1.94,,,
Total,18.69,24.74,38.15,22.53,19.71,37.09,31.99,26.59,27.96,,,
Calc annual,18.69,24.74,38.15,22.53,19.71,37.09,31.99,26.59,27.96,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,NaN,,
