CHOBHAM (LITTLE DONNYSTONE),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,235/7,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,2.57,2.82,5.07,1.77,1.55,2.03,2.09,,,,,
February,2.14,1.00,1.47,0.83,1.78,2.73,2.07,,,,,
March,3.41,1.59,0.46,0.17,0.57,1.12,5.66,,,,,
April,1.04,1.36,0.95,1.18,1.25,1.68,1.69,,,,,
May,2.34,3.03,2.56,0.80,1.69,3.38,1.20,,,,,
June,1.78,0.34,1.67,2.45,2.44,2.83,2.63,,,,,
July,4.58,1.48,1.79,1.85,3.73,2.50,2.28,,,,,
August,5.02,2.62,1.51,1.99,1.19,4.36,0.44,,,,,
September,0.23,1.03,1.86,2.26,2.11,3.58,1.23,,,,,
October,1.24,3.37,3.15,3.39,3.41,1.03,0.31,,,,,
November,2.98,1.88,1.56,3.98,0.27,4.93,0.98,,,,,
December,1.66,3.08,1.47,1.85,3.38,2.61,2.87,,,,,
Total,28.99,23.60,23.52,22.52,23.37,32.78,23.45,,,,,
Calc annual,28.99,23.60,23.52,22.52,23.37,32.78,23.45,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,NaN,NaN,NaN,,
