GLEN LYON (MEGGERNIE CASTLE),,,,,,,,,,
Grid ref,NN553462,Long,-4.357636,Lat,56.585335,Elevation,700,ft,,
Station no,5557,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,8.03,3.59,4.69
February,,,,,,,,3.69,2.82,6.4
March,,,,,,,,1.59,6.1,2.34
April,,,,,,,,2.34,5.59,7.42
May,,,,,,,,4.32,5.6,3.68
June,,,,,,,,4.05,4.81,2.57
July,,,,,,,,4.46,4.9,3.72
August,,,,,,,,5.83,3.01,3.34
September,,,,,,,,5.74,1.07,3.89
October,,,,,,,5.67,6.58,7.88,6.19
November,,,,,,,2.58,1.38,7.8,8.15
December,,,,,,,8.87,9.29,10.86,7.48
Total,,,,,,,,57.3,64.03,59.87
