"ST KILDA",,,,,,,,,,,,
Grid ref,NF104991,Long,-8.564411,Lat,57.811156,,,,,,,
Station no,5765/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,7.30,6.81,5.22,,
February,,,,,,,,2.86,2.45,4.17,,
March,,,,,,,,2.11,3.58,2.01,,
April,,,,,,,,,3.90,2.80,,
May,,,,,,,,,1.42,1.92,,
June,,,,,,,,,3.39,3.26,,
July,,,,,,,,,5.57,4.50,,
August,,,,,,,,,,2.39,,
September,,,,,,,,,,3.51,,
October,,,,,,,5.36,,,2.25,,
November,,,,,,,3.61,,6.45,5.21,,
December,,,,,,,6.38,4.69,6.56,5.93,,
Total,,,,,,,,,,43.17,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,15.35,16.96,40.13,43.17,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
