"HAMPSTEAD BRANCH HILL LODGE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR1937,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,,,,,2.15,,,,,,,
February,,,,,1.33,,,,,,,
March,,,,,1.44,,,,,,,
April,,,,,1.09,,,,,,,
May,,,,,0.98,,,,,,,
June,,,,,2.85,,,,,,,
July,,,,,1.97,,,,,,,
August,,,,,1.08,,,,,,,
September,,,,,1.29,,,,,,,
October,,,,,0.98,,,,,,,
November,,,,,1.51,,,,,,,
December,,,,,3.63,,,,,,,
Total,,,,,20.30,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,20.30,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,0.00,NaN,NaN,NaN,NaN,NaN,,
