TURNER'S HILL,,,,,,,,,,,,
Grid ref,TQ335361,Long,-0.094369,Lat,51.108658,,,,,,,
Station no,585/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,3.90,5.30,3.25,3.69,3.32,3.80,,
February,,,,,1.95,0.43,6.20,2.56,0.01,2.79,,
March,,,,,1.48,1.09,1.35,2.12,2.19,2.34,,
April,,,,,0.39,1.52,0.13,1.70,3.12,0.90,,
May,,,,,5.59,0.55,1.66,3.78,0.54,1.48,,
June,,,,,2.23,3.02,1.20,4.08,1.08,2.23,,
July,,,,,0.79,3.95,4.32,2.48,1.94,4.73,,
August,,,,,1.04,3.09,3.56,3.81,0.87,5.99,,
September,,,,,2.46,3.59,3.26,8.61,0.09,4.79,,
October,,,,,5.03,1.80,1.85,3.16,3.95,8.76,,
November,,,,,1.65,1.00,4.63,2.06,4.58,8.14,,
December,,,,,3.77,5.63,3.08,4.76,8.76,5.05,,
Total,,,,,30.28,30.97,34.49,42.81,30.45,51.00,,
Calc annual,0.00,0.00,0.00,0.00,30.28,30.97,34.49,42.81,30.45,51.00,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,,
