DUNKERY BEACON,,,,,,,,,,,,
Grid ref,SS892416,Long,-3.585963,Lat,51.162884,,,,,,,
Station no,2097/3/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.47,9.67,1.94,3.55,8.70,9.29,9.27,7.28,8.22,6.82,,
February,9.76,2.19,3.27,7.17,5.08,1.16,8.89,8.42,0.51,10.17,,
March,7.21,4.86,2.69,7.22,2.54,3.21,6.80,2.14,5.50,3.84,,
April,6.90,5.98,5.60,1.33,3.13,2.18,0.28,2.06,6.23,4.71,,
May,5.10,4.09,4.11,4.21,7.85,1.24,3.64,7.53,1.97,2.08,,
June,2.20,2.94,2.81,5.66,5.03,3.25,2.13,4.14,3.49,3.32,,
July,2.36,2.87,6.69,6.35,2.05,6.71,6.07,4.82,4.27,8.22,,
August,6.75,10.54,6.87,5.92,1.03,5.69,6.58,6.28,5.47,4.31,,
September,6.28,6.06,8.69,9.21,3.15,11.94,9.91,10.53,0.52,6.52,,
October,3.19,8.95,4.62,9.06,3.65,3.69,8.00,5.87,7.79,14.79,,
November,13.33,6.26,6.01,15.06,6.05,1.99,3.46,3.87,10.61,13.25,,
December,8.11,7.34,2.48,7.73,10.72,9.72,-999.00,6.92,17.61,13.21,,
Total,80.66,71.75,55.78,82.47,58.98,60.07,70.56,69.86,72.19,91.24,,
Calc annual,80.66,71.75,55.78,82.47,58.98,60.07,65.03,69.86,72.19,91.24,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,5.53,0.00,0.00,-0.00,,
