"ASHDON RECTORY, ESSEX",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR1047,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,2.84,1.72,1.39,2.45,0.90,2.79,2.73,2.40,2.19,2.41,,
February,3.48,2.32,0.35,0.37,0.82,1.70,2.72,1.23,1.36,2.08,,
March,2.43,1.81,2.29,0.97,3.01,1.24,1.43,1.91,1.69,1.31,,
April,1.10,0.45,2.44,0.71,0.45,0.51,1.88,2.06,1.35,1.77,,
May,3.87,1.29,2.88,0.68,2.07,1.04,0.74,3.30,1.25,3.21,,
June,4.25,1.79,1.52,3.23,1.17,2.02,3.53,0.14,0.28,0.90,,
July,2.68,2.40,1.94,0.51,0.71,4.22,2.12,2.21,0.33,0.69,,
August,4.35,0.53,2.62,2.57,0.75,3.38,3.24,2.65,2.02,1.85,,
September,2.77,1.23,1.23,2.51,1.78,0.40,3.05,2.46,1.83,3.85,,
October,1.07,0.98,3.24,2.09,1.14,5.06,0.94,2.98,2.28,1.62,,
November,1.97,3.06,1.29,2.58,2.42,1.69,1.91,0.61,1.08,2.70,,
December,1.11,0.96,1.34,1.17,0.76,1.35,2.43,2.27,3.74,3.62,,
Total,31.92,18.54,22.53,19.84,15.98,25.40,26.72,24.22,19.40,26.01,,
Calc annual,31.92,18.54,22.53,19.84,15.98,25.40,26.72,24.22,19.40,26.01,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
