HINTON WALDRIST,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6370,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,,3.85,2.90,0.50,3.21,1.82,1.24,,,,
February,,,1.78,1.06,2.02,3.18,2.43,1.31,,,,
March,,,3.21,2.61,4.37,1.22,6.02,2.13,,,,
April,,,0.04,2.71,0.79,0.77,0.86,1.60,,,,
May,,,2.60,1.78,1.44,3.17,1.75,2.23,,,,
June,,,3.62,0.66,2.08,2.53,2.26,1.74,,,,
July,,,2.86,1.33,3.93,4.07,1.23,3.82,,,,
August,,,5.11,0.77,1.98,2.69,4.70,4.46,,,,
September,,,1.02,1.73,0.75,1.90,1.20,1.81,,,,
October,,,2.96,3.66,2.69,3.66,3.09,3.10,,,,
November,,,1.81,2.29,3.35,2.03,4.26,1.31,,,,
December,,,3.35,1.04,5.78,4.45,2.89,0.81,,,,
Total,,,32.21,22.54,29.68,32.88,32.51,25.56,,,,
Calc annual,0.00,0.00,32.21,22.54,29.68,32.88,32.51,25.56,0.00,0.00,,
Difference,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,NaN,NaN,,
