CWMBRAN-ONE,,,,,,,,,,
Grid ref,ST273952,Long,-3.0522117,Lat,51.650872,Elevation,540,ft.,,
Station no,4018/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.12,2.95,5.52,6.07,5.73,5.45,7.17,5.75
February,,,2.15,6.13,3.63,0.44,7.06,7.44,0.23,5.7
March,,,2,5.87,3.2,1.19,6.45,1.83,4.94,3.48
April,,,5.03,0.4,1.98,2.64,0.16,0.94,4.88,3.1
May,,,4.4,3.33,6.59,1.32,2.88,4.9,2.26,2.34
June,,,2.8,6.4,5.99,3.8,1.31,3.81,2.07,2.71
July,,,7.06,2.35,0.23,4.21,4.7,4.94,4.68,5.91
August,,8.66,5.1,6.39,1.35,5.54,4.94,4.88,1.98,6.32
September,,4.01,5.53,6.85,1.88,6.44,7.61,9.71,0.18,6.66
October,,7.09,4.53,8.05,3.34,2.31,4.22,5.53,4.36,10.3
November,,4.74,3.41,11.67,6.95,1.82,2.84,2.22,7.44,11.5
December,,3.53,1.8,4.31,7.99,7.83,3.46,5.45,11.98,6.51
Total,,,44.93,64.7,48.65,43.61,51.36,57.1,52.17,70.28
,,,,,,,,,,
MIDAS src_id 10869 CWMBRAN: MAES-Y-RHIW Start 1952 and still current,,,,,,,,,,
"NGR is from the 1950s record and is near Cwmbran. Altitudes match as do relationships to church and station. NGR is also close to Maes-Y-Rhiw, the Midas name for the station although the MIDAS NGR places the gauge 140m SSW",,,,,,,,,,
