LOOK-AND-CUCKOO-MARSHES,,,,,,,,,,
Grid ref,TR242607,Long,1.214874,Lat,51.301249,Elevation,10,ft,,
Station no,0299/5/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,1.8,3.82
February,,,,,,,,,0.03,2.01
March,,,,,,,,,1.33,1.45
April,,,,,,,,,2.5,0.72
May,,,,,,,,,0.87,2.6
June,,,,,,,,,0.98,1.58
July,,,,,,,,,1.99,2.19
August,,,,,,,,,1.49,3.69
September,,,,,,,,,0.1,3.35
October,,,,,,,,,2.56,6.85
November,,,,,,,,,5.2,2.59
December,,,,,,,,,5.97,4.04
Total,,,,,,,,,24.82,34.89
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,
