BRADFORD (THORNTON CEMETERY),,,,,,,,,,,,
Grid ref,SE088330,Long,-1.867896,Lat,53.793239,,,,,,,
Station no,3265/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.58,4.78,1.34,3.34,2.05,5.46,2.90,3.20,3.08,6.12,,
February,3.54,1.52,2.69,3.14,3.03,1.55,3.36,4.77,0.41,3.07,,
March,3.84,2.33,2.00,2.48,2.68,1.54,2.83,2.48,1.49,2.04,,
April,1.77,2.36,2.92,0.37,1.05,2.86,0.40,1.09,4.03,2.30,,
May,4.28,1.86,2.02,3.42,2.78,1.08,1.90,4.77,1.70,1.82,,
June,1.23,2.37,3.67,1.75,2.26,2.51,1.97,5.84,2.90,1.29,,
July,2.50,1.48,4.07,2.64,0.71,5.42,3.75,4.52,2.77,4.60,,
August,4.41,4.16,4.15,7.03,1.07,7.57,4.96,3.53,0.91,5.09,,
September,2.45,3.95,3.31,4.79,1.85,4.29,4.65,3.75,0.25,3.12,,
October,1.82,4.39,2.12,6.79,2.57,1.69,3.99,3.45,5.11,6.38,,
November,8.30,2.06,4.62,5.47,2.30,1.11,2.39,1.10,4.38,6.40,,
December,6.80,4.41,2.23,4.73,5.31,3.71,4.47,4.40,7.06,4.59,,
Total,45.52,35.67,35.14,45.95,27.66,38.79,37.57,42.90,34.09,46.82,,
Calc annual,45.52,35.67,35.14,45.95,27.66,38.79,37.57,42.90,34.09,46.82,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,,
