UPPER TEESDALE (MOORHOUSE),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,3730,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,,,,3.50,8.71,8.00,10.73,10.52,3.02,,
February,,,,,11.30,2.80,8.14,4.36,9.21,3.33,,
March,,,,,3.56,4.45,5.72,5.66,5.98,10.08,,
April,,,,,3.28,1.96,4.26,2.28,4.89,3.41,,
May,,,,,1.00,1.57,4.44,4.35,1.52,1.54,,
June,,,,,6.01,4.06,4.54,7.38,5.90,1.33,,
July,,,,,4.14,9.93,3.52,8.37,9.71,7.74,,
August,,,,,4.05,4.34,3.36,6.51,3.65,5.93,,
September,,,,,9.50,8.33,4.76,3.91,2.21,9.50,,
October,,,,,15.28,7.79,3.08,19.41,5.60,8.11,,
November,,,,,8.90,9.32,1.37,9.66,11.10,8.26,,
December,,,,,4.25,9.24,3.44,9.43,3.29,8.97,,
Total,,,,,74.77,72.50,54.63,92.05,73.58,71.22,,
Calc annual,0.00,0.00,0.00,0.00,74.77,72.50,54.63,92.05,73.58,71.22,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,,
