ROYSTON UNION WORKHOUSE,,,,,,,,,,,,
Grid ref,TL3509740719,Long,-0.031357,Lat,52.048405,,,,,,,
Station no,RR6497,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.65,0.57,0.52,2.18,1.70,1.07,2.69,0.94,1.04,0.85,,
February,3.91,0.97,0.99,0.58,2.55,1.29,1.94,1.47,1.09,0.36,,
March,0.65,2.72,1.00,2.64,1.54,2.39,2.05,1.00,2.59,3.27,,
April,0.82,2.41,0.72,1.28,0.85,2.02,1.13,2.95,2.96,1.47,,
May,1.29,0.87,2.43,3.81,1.39,1.11,1.25,3.12,1.29,1.59,,
June,2.74,1.54,2.76,5.87,0.98,3.51,3.37,1.49,2.10,3.98,,
July,0.95,3.07,1.16,4.84,2.97,0.77,0.76,2.23,3.12,3.62,,
August,3.08,1.86,4.89,2.96,2.27,3.42,1.10,2.35,2.02,2.19,,
September,0.45,1.24,0.76,1.80,1.08,1.93,1.13,0.69,1.31,2.17,,
October,2.00,1.48,1.25,4.52,1.17,1.43,3.64,2.66,1.06,4.06,,
November,1.88,1.39,1.18,2.03,1.25,2.01,4.14,2.27,0.96,0.86,,
December,2.30,2.80,1.21,1.51,1.92,0.85,2.22,3.14,1.87,3.01,,
Total,22.72,20.92,18.87,34.02,19.67,21.80,25.42,24.31,21.41,27.43,,
Calc annual,22.72,20.92,18.87,34.02,19.67,21.80,25.42,24.31,21.41,27.43,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
