CHILWORTH (BROOKS WOOD),,,,,,,,,,,,
Grid ref,TQ024470,Long,-0.535345,Lat,51.213033,,,,,,,
Station no,192/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,1.40,3.10,4.09,1.88,2.78,3.26,,,
February,,,,2.39,1.64,0.40,3.85,2.58,0.06,,,
March,,,,2.71,1.40,0.74,1.39,2.21,2.91,,,
April,,,,0.39,0.19,1.36,0.39,1.08,2.81,,,
May,,,,2.53,3.98,0.37,1.82,3.04,0.54,,,
June,,,,3.46,2.37,2.37,1.16,4.10,1.04,,,
July,,,,2.98,0.43,4.85,3.87,1.30,2.72,,,
August,,,,2.02,1.48,4.24,2.18,4.29,2.23,,,
September,,,,2.37,1.74,2.79,2.74,4.43,0.16,,,
October,,,,2.16,4.51,1.37,1.56,2.76,2.74,,,
November,,,0.60,5.80,2.58,0.95,2.93,2.50,4.31,,,
December,,,0.83,2.90,3.02,4.50,2.60,3.48,5.91,,,
Total,,,,31.11,26.44,28.03,26.37,34.55,28.69,,,
Calc annual,0.00,0.00,1.43,31.11,26.44,28.03,26.37,34.55,28.69,0.00,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
