RYDE (BINSTEAD HOUSE),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,608/9,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,4.23,4.19,5.39,2.75,2.07,3.34,,,,,,
February,2.98,0.47,2.26,0.64,2.44,3.52,,,,,,
March,4.46,3.47,0.89,0.24,1.18,1.41,,,,,,
April,1.44,1.98,1.48,2.18,1.68,3.32,,,,,,
May,2.44,3.73,2.57,0.61,2.06,3.07,,,,,,
June,0.65,0.85,1.84,1.70,2.89,3.27,,,,,,
July,2.20,1.91,2.11,3.18,2.93,1.55,,,,,,
August,4.15,4.92,1.42,2.55,2.23,5.33,,,,,,
September,1.80,2.92,2.01,2.13,2.64,3.86,,,,,,
October,1.00,3.96,3.96,4.96,3.63,1.05,,,,,,
November,3.30,0.96,1.87,7.15,1.03,6.20,,,,,,
December,2.75,4.40,3.29,2.82,5.21,3.65,,,,,,
Total,31.40,33.76,29.09,30.91,29.99,39.57,,,,,,
Calc annual,31.40,33.76,29.09,30.91,29.99,39.57,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,-0.00,-0.00,0.00,NaN,NaN,NaN,NaN,,
