CORBY - IRNHAM HALL,,,,,,,,,,,,,,,,
Grid ref,TF022265,Long,-0.485,Lat,52.826,Elevation,200,ft,,,,,,,,
Station no,2531/7,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,0.58,1.66,1.71,4.28,1.46,0.68,3.12,1.50,0.80,1.11,2.67,4.26,1.41,2.61,3.05,4.09
February,2.13,3.20,2.36,1.28,0.64,3.34,3.75,0.32,1.63,2.73,2.65,0.92,2.85,3.46,0.17,2.28
March,0.54,1.00,4.41,0.43,0.97,0.60,3.44,2.81,0.82,1.77,2.15,0.69,1.70,1.49,2.16,1.61
April,1.06,1.36,2.30,2.06,1.99,2.29,2.13,1.32,1.90,0.34,1.07,1.67,0.26,0.65,2.02,0.34
May,1.26,2.00,0.93,2.55,1.90,2.35,3.42,1.70,2.34,3.16,3.42,1.16,1.46,2.17,0.94,0.65
June,2.23,2.33,2.20,4.23,0.72,1.43,1.21,1.35,2.99,2.73,3.42,2.71,1.83,4.99,0.40,1.41
July,1.85,1.59,1.29,1.16,1.99,2.67,0.99,0.13,1.26,2.42,0.27,3.10,3.42,3.72,1.79,3.29
August,2.62,3.36,0.07,2.77,1.08,1.65,3.49,3.14,2.41,3.37,1.01,3.96,2.05,3.96,1.53,2.65
September,1.09,3.02,0.97,2.39,1.04,2.31,1.98,1.86,0.74,2.17,0.70,2.08,4.84,1.87,0.18,3.12
October,2.73,2.22,0.29,1.41,4.47,0.85,1.01,3.04,2.36,2.52,1.59,1.01,0.97,1.62,1.37,4.97
November,0.44,4.84,1.08,1.57,2.80,4.03,5.07,2.12,1.64,4.71,1.25,1.02,2.00,1.37,2.14,3.33
December,1.89,2.82,2.29,2.70,1.55,1.09,1.48,2.10,0.71,2.54,1.69,1.87,2.45,3.05,4.00,3.98
Total,18.42,29.40,19.90,26.83,20.61,23.29,31.09,21.39,19.60,29.57,21.89,24.45,25.24,30.96,19.75,31.72
,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/173,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/175,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
# The station continued until 1967 according to MIDAS. (MIDAS src_id = 4063),,,,,,,,,,,,,,,,
