"TEIGNMOUTH WESTBROOK",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,3.85,1.08,2.72,4.16,3.13,6.60,,,,,,
February,1.32,1.87,1.30,1.39,1.52,2.95,,,,,,
March,3.27,4.18,5.19,3.38,3.34,2.44,,,,,,
April,1.26,0.26,2.88,1.94,1.52,1.00,,,,,,
May,2.05,1.76,2.34,1.47,1.28,3.11,,,,,,
June,8.27,3.75,3.74,4.16,1.18,2.35,,,,,,
July,1.98,3.57,1.85,1.49,0.30,3.15,,,,,,
August,3.69,0.80,1.87,3.39,1.10,4.39,,,,,,
September,2.50,2.17,2.57,2.36,2.60,0.00,,,,,,
October,2.04,2.18,6.15,6.52,1.58,8.08,,,,,,
November,2.50,6.49,0.83,2.66,3.16,3.83,,,,,,
December,7.62,2.25,3.17,2.45,1.35,4.13,,,,,,
Total,40.35,30.36,34.61,35.37,22.06,42.03,,,,,,
Calc annual,40.35,30.36,34.61,35.37,22.06,42.03,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
