"KIRKBY LONSDALE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,,,,,,,5.76,5.89,3.90,5.12,,
February,,,,,,,5.96,4.77,4.68,8.16,,
March,,,,,,,2.26,2.20,7.20,1.30,,
April,,,,,,,1.23,6.00,2.51,3.45,,
May,,,,,,,2.49,2.65,1.55,2.64,,
June,,,,,,,4.28,2.57,0.62,1.92,,
July,,,,,,,5.47,3.35,1.04,1.42,,
August,,,,,,,5.90,4.44,4.79,2.24,,
September,,,,,,,9.76,5.34,2.56,9.72,,
October,,,,,,,2.98,4.46,4.92,3.41,,
November,,,,,,,8.09,2.17,2.48,6.24,,
December,,,,,,,7.67,4.03,9.39,5.59,,
Total,,,,,,,61.85,47.87,45.64,51.21,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,61.85,47.87,45.64,51.21,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,-0.00,,
