"MASHAM MOOR BROWN BECK",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4564,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,6.13,1.58,4.14,6.40,3.12,5.59,3.66,2.65,4.12,,,
February,4.28,3.54,2.93,2.22,3.95,5.96,5.91,2.49,4.61,,,
March,1.24,1.91,4.51,7.17,2.93,1.44,5.58,2.11,1.99,,,
April,3.06,1.38,0.33,4.10,1.28,1.44,2.03,3.50,1.16,,,
May,2.77,1.26,1.10,2.75,2.36,1.91,3.45,2.32,3.11,,,
June,1.96,3.25,6.42,1.88,4.21,0.34,3.02,2.06,0.77,,,
July,3.87,0.43,4.68,1.72,2.41,5.01,2.90,1.70,5.54,,,
August,4.19,2.55,6.89,1.30,2.22,5.36,2.72,8.14,3.08,,,
September,0.72,2.77,1.86,2.33,1.63,0.74,2.53,1.44,8.48,,,
October,5.22,3.82,3.73,3.94,2.70,1.56,7.86,4.88,3.63,,,
November,3.24,5.48,2.72,3.32,6.07,2.70,5.26,2.55,2.52,,,
December,3.72,6.63,4.10,2.24,9.40,8.86,3.04,2.10,5.04,,,
Total,40.40,34.60,43.41,39.37,42.28,40.91,47.96,35.94,44.05,,,
Calc annual,40.40,34.60,43.41,39.37,42.28,40.91,47.96,35.94,44.05,0.00,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,NaN,,
