SEAMILL,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5213,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,3.81,5.16,3.27,3.54,2.32,3.81,4.45,,,,,
February,2.99,0.02,2.82,0.38,4.48,1.94,5.39,,,,,
March,1.05,2.45,1.63,2.08,1.58,2.54,1.19,,,,,
April,1.57,2.75,1.79,2.88,3.69,1.22,1.87,,,,,
May,3.51,2.40,2.75,2.36,0.82,2.79,1.16,,,,,
June,4.33,1.66,2.24,2.33,3.64,1.53,2.97,,,,,
July,3.99,3.14,3.78,1.75,1.46,5.51,4.85,,,,,
August,1.63,2.63,3.36,3.73,1.46,3.05,3.35,,,,,
September,1.38,4.28,0.84,5.52,4.32,3.88,2.18,,,,,
October,3.20,4.81,3.05,6.28,7.99,4.08,2.48,,,,,
November,7.23,2.74,3.39,0.85,5.27,3.30,0.88,,,,,
December,3.15,6.54,1.40,7.18,3.52,5.15,2.39,,,,,
Total,37.84,38.58,30.32,38.88,40.55,38.80,33.16,,,,,
Calc annual,37.84,38.58,30.32,38.88,40.55,38.80,33.16,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,,
