STRATTON ST.MARY RECTORY,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6657,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,1.81,4.62,1.19,2.18,,,,,,,
February,,0.24,2.41,3.15,1.55,,,,,,,
March,,1.03,1.69,1.46,0.53,,,,,,,
April,,1.19,2.63,0.86,2.35,,,,,,,
May,,1.34,1.06,1.19,4.33,,,,,,,
June,,0.18,1.57,0.71,1.56,,,,,,,
July,,0.55,6.21,2.70,,,,,,,,
August,,2.28,1.47,1.87,,,,,,,,
September,,1.27,2.88,1.40,,,,,,,,
October,,0.99,1.12,3.38,,,,,,,,
November,,1.59,1.49,2.78,,,,,,,,
December,,1.37,1.68,2.50,,,,,,,,
Total,,13.84,28.83,23.19,,,,,,,,
Calc annual,0.00,13.84,28.83,23.19,12.50,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,NaN,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
