NEWBURY (SEWAGE PUMPING STATION),,,,,,,,,,,,
Grid ref,SU501671,Long,-1.281200,Lat,51.400727,,,,,,,
Station no,796/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,1.64,2.86,4.24,2.10,3.64,4.54,4.18,,
February,,,,2.67,1.50,0.24,4.47,3.51,0.34,2.93,,
March,,,,2.71,1.22,0.91,1.74,1.49,4.04,1.52,,
April,,,,0.30,0.73,1.87,0.18,0.95,2.65,0.77,,
May,,,,1.92,3.56,0.30,2.28,2.52,0.55,1.48,,
June,,,,4.36,2.72,1.56,1.41,3.42,0.94,2.45,,
July,,,,2.64,0.14,2.59,3.26,2.49,1.79,2.84,,
August,,,,2.86,0.39,3.48,2.80,3.43,3.07,3.37,,
September,,,,2.31,0.99,3.42,3.30,4.10,0.04,3.79,,
October,,,,2.36,3.23,1.44,2.26,3.41,2.21,8.32,,
November,,,,5.86,1.93,0.94,2.04,2.43,2.99,3.62,,
December,,,,3.08,2.81,5.02,3.12,3.24,5.82,4.36,,
Total,,,,32.71,22.08,26.01,28.96,34.63,28.98,39.63,,
Calc annual,0.00,0.00,0.00,32.71,22.08,26.01,28.96,34.63,28.98,39.63,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
