"KNOCKANDO HOUSE CRAIG ELLACHIE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5675,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,,,,,0.70,4.60,2.24,4.90,,,,
February,,,,,1.84,2.64,3.98,1.54,,,,
March,,,,,1.99,2.39,3.43,1.65,,,,
April,,,,,2.55,0.58,1.84,3.92,,,,
May,,,,,1.49,2.74,2.06,1.99,,,,
June,,,,,2.27,0.41,1.13,2.20,,,,
July,,,,,2.26,4.32,5.34,2.47,,,,
August,,,,,2.85,3.27,5.04,1.88,,,,
September,,,,,3.69,0.61,3.59,2.96,,,,
October,,,,,6.35,5.14,1.34,3.32,,,,
November,,,,,3.81,2.48,4.34,1.37,,,,
December,,,,,1.77,,5.55,3.22,,,,
Total,,,,,31.57,,39.88,31.42,,,,
Calc annual,0.00,0.00,0.00,0.00,31.57,29.18,39.88,31.42,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,0.00,NaN,0.00,0.00,NaN,NaN,,
