MINCHINHAMPTON (DERHAMS HOUSE),,,,,,,,,,,,
Grid ref,SO869005,Long,-2.190964,Lat,51.703086,,,,,,,
Station no,2152/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,3.45,2.84,4.80,4.80,,
February,,,,,,,3.52,4.13,0.26,3.18,,
March,,,,,,,2.78,1.38,3.26,1.62,,
April,,,,,,,0.15,0.91,3.58,1.46,,
May,,,,,,,1.54,2.84,1.59,1.21,,
June,,,,,,,1.47,4.42,2.57,2.55,,
July,,,,,,,3.51,4.04,1.89,4.17,,
August,,,,,,,3.99,3.55,3.44,5.61,,
September,,,,,,,4.03,6.00,0.23,4.66,,
October,,,,,,,2.36,3.02,2.30,5.86,,
November,,,,,,,2.07,2.84,3.79,6.26,,
December,,,,,,,2.33,3.87,7.05,3.40,,
Total,,,,,,,31.20,39.84,34.76,44.78,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,31.20,39.84,34.76,44.78,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,,
