"LOCH MAREE (GRUDIE BRIDGE)",,,,,,,,,,,,
Grid ref,NG891723,Long,-5.540067,Lat,57.690921,,,,,,,
Station no,5784/55,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,3.98,10.30,12.44,7.00,7.25,4.04,,
February,,,,,5.77,6.27,4.62,6.04,3.86,5.83,,
March,,,,,1.54,1.14,5.63,2.54,2.55,0.51,,
April,,,,,2.60,4.13,3.05,4.19,6.58,5.05,,
May,,,,,3.68,7.11,2.54,5.46,1.99,2.43,,
June,,,,,3.24,3.47,3.05,2.04,5.32,5.97,,
July,,,,,0.26,6.37,2.59,2.58,8.01,3.84,,
August,,,,,1.20,6.34,6.18,3.87,4.77,4.83,,
September,,,,10.69,8.83,4.41,6.79,3.93,2.41,3.34,,
October,,,,12.18,9.54,10.36,10.84,10.08,10.08,1.35,,
November,,,,7.60,2.54,8.03,4.56,2.23,8.32,3.68,,
December,,,,13.76,10.36,11.96,14.28,5.23,8.07,8.35,,
Total,,,,,53.54,79.89,76.57,55.19,69.21,49.22,,
Calc annual,0.00,0.00,0.00,44.23,53.54,79.89,76.57,55.19,69.21,49.22,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,-0.00,,
