"CATTERICK MET OFFICE (+A) MWR",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4579,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,1.51,1.39,1.31,1.27,3.35,2.79,2.64,4.51,1.25,,
February,,0.59,3.91,0.30,2.28,2.73,3.14,1.15,1.18,1.61,,
March,,1.48,1.59,1.79,0.60,1.69,2.83,0.12,1.96,2.06,,
April,,1.63,1.08,2.60,1.79,1.28,3.09,0.03,0.99,1.32,,
May,,3.93,2.73,1.16,0.67,1.59,2.58,2.29,1.33,1.36,,
June,,1.54,0.80,1.73,2.26,5.61,1.13,2.59,2.02,0.26,,
July,,3.12,1.68,1.37,0.76,3.82,1.41,2.57,5.13,4.59,,
August,4.26,1.65,0.34,1.81,1.81,2.30,0.96,2.67,2.94,0.34,,
September,3.29,1.76,1.76,1.65,4.78,3.28,0.80,1.80,1.03,1.05,,
October,0.87,3.04,3.06,2.93,3.54,1.30,1.70,3.86,3.61,2.80,,
November,2.70,1.19,2.64,1.40,4.31,2.12,1.93,3.03,2.90,2.84,,
December,0.88,1.02,0.65,4.05,1.61,1.64,3.28,3.57,1.29,1.91,,
Total,,22.46,21.63,22.10,25.68,30.71,25.64,26.32,28.89,21.39,,
Calc annual,12.00,22.46,21.63,22.10,25.68,30.71,25.64,26.32,28.89,21.39,,
Difference,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
