"YARROW HOUSE",,,,,,,,,,,,
Grid ref,NT358277,Long,-3.018842,Lat,55.538776,,,,,,,
Station no,5060/118,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,2.81,4.02,,
February,,,,,,,,,0.63,4.48,,
March,,,,,,,,,1.53,2.03,,
April,,,,,,,,,3.02,2.94,,
May,,,,,,,,,0.94,1.50,,
June,,,,,,,,,2.40,1.29,,
July,,,,,,,,,2.75,2.75,,
August,,,,,,,,,0.97,4.37,,
September,,,,,,,,2.78,0.89,2.37,,
October,,,,,,,,2.33,3.90,3.84,,
November,,,,,,,,0.85,7.03,3.82,,
December,,,,,,,,5.70,5.60,2.90,,
Total,,,,,,,,,32.47,36.31,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.66,32.47,36.31,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
