BARROWMORE,,,,,,,,,,,,
Grid ref,SJ474691,Long,-2.789168,Lat,53.216339,,,,,,,
Station no,2780/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.50,2.83,0.98,1.53,1.94,3.17,1.21,2.01,2.94,4.18,,
February,2.00,0.80,1.00,1.63,2.01,0.28,2.20,3.68,0.21,1.88,,
March,4.77,1.19,0.71,1.63,1.52,0.94,1.90,1.27,1.12,0.76,,
April,1.65,1.78,2.39,0.52,1.22,2.49,0.71,0.49,2.76,1.10,,
May,2.84,1.78,2.23,2.23,2.49,0.89,1.92,2.36,1.89,1.85,,
June,1.43,1.71,1.63,3.38,3.21,1.96,1.31,4.38,2.54,1.40,,
July,3.50,2.02,2.56,4.40,0.40,3.89,4.87,3.04,2.72,3.63,,
August,3.98,1.10,2.71,3.24,1.16,7.12,3.11,2.65,0.80,5.39,,
September,1.75,3.23,1.98,2.59,2.16,1.44,6.30,3.45,0.14,3.84,,
October,0.87,3.86,1.29,4.85,1.95,2.14,2.18,2.23,1.95,3.58,,
November,6.10,2.17,2.17,4.56,1.28,0.99,1.50,1.53,3.83,4.06,,
December,3.59,3.27,1.31,3.17,2.61,2.19,2.08,2.78,4.29,2.36,,
Total,33.98,25.74,20.96,33.73,21.95,27.50,29.29,29.87,25.19,34.03,,
Calc annual,33.98,25.74,20.96,33.73,21.95,27.50,29.29,29.87,25.19,34.03,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,,
