LOOSE-VICARAGE,,,,,,,,,,,
Grid ref,TQ759519,Long,0.51847768,Lat,51.239162,Elevation,240,ft,,,
Station no,RR8333,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,1.27,2.91,2.3,2.49,2.33,3.06,1.22,
February,,,,3.64,0.88,2.6,2.26,3.72,1.29,0.78,
March,,,,2.25,1.16,1.04,0.31,2.93,1.57,0.08,
April,,,,2.05,4.09,2.17,4.74,1.68,2.21,1.08,
May,,,,3.36,3.7,2.26,1.75,1.03,2.23,1.16,
June,,,,0.72,2.1,0.36,2.61,3.02,2.72,1.42,
July,,,,1,4.41,3.25,2.01,4.58,1.24,0.93,
August,,,,1.61,2.85,1.66,1.2,4.2,2.15,2.02,
September,,,,2.29,3.19,2.25,0.85,4.93,0.39,1.37,
October,,,,7.05,4.73,3.84,2.34,1.55,2.41,3.61,
November,,,,2.28,3.42,2.41,5.72,2.37,3.9,5.76,
December,,,,2.57,3.87,2.91,0.82,4.86,3.46,6.15,
Total,,,,30.09,37.31,27.05,27.1,37.2,26.63,25.58,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Snow estimates kept,,,,,,,,,,,
