BRINDLE RECTORY,,,,,,,,,,,,
Grid ref,SD600243,Long,-2.607536,Lat,53.713575,,,,,,,
Station no,RR6776,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,2.72,3.82,3.53,3.78,1.91,5.09,1.85,3.19,,,
February,,1.24,1.36,4.32,4.76,2.20,3.59,2.35,3.59,,,
March,,3.33,3.31,4.57,2.68,3.26,3.37,3.86,3.47,,,
April,,2.13,3.33,2.05,2.75,3.46,1.86,2.09,2.35,,,
May,,0.62,3.27,3.85,2.05,0.64,4.59,4.01,3.50,,,
June,,2.18,2.20,2.14,2.38,2.85,2.65,8.62,2.21,,,
July,,1.50,4.43,3.75,1.64,3.27,2.47,3.82,5.33,,,
August,,2.66,2.50,6.29,5.54,3.77,4.24,5.61,4.92,,,
September,,1.25,1.63,5.55,1.29,3.30,1.80,1.26,5.31,,,
October,,3.93,4.96,8.03,3.66,3.90,7.27,3.26,1.97,,,
November,,5.25,2.14,3.93,3.10,5.10,4.34,2.84,3.50,,,
December,,4.41,3.92,3.30,3.27,0.98,4.49,4.58,2.91,,,
Total,,31.22,36.87,51.31,36.90,34.64,45.76,44.15,42.25,,,
Calc annual,0.00,31.22,36.87,51.31,36.90,34.64,45.76,44.15,42.25,0.00,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
