FOREST HILL CHURCH ROAD,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8326,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,2.44,3.88,2.55,1.16,3.23,1.12,,,,,
February,,0.97,0.93,1.82,1.10,0.95,1.93,,,,,
March,,1.00,2.00,1.25,0.53,0.47,2.63,,,,,
April,,3.11,1.15,0.84,1.41,1.65,1.31,,,,,
May,,0.80,3.31,1.54,0.47,1.11,1.19,,,,,
June,,2.86,1.85,2.94,2.53,2.53,1.16,,,,,
July,,2.79,2.59,1.80,1.63,4.83,,,,,,
August,,0.89,2.62,2.52,1.75,2.46,,,,,,
September,,4.74,1.42,2.63,3.05,2.59,,,,,,
October,3.21,0.88,4.40,3.13,3.85,3.91,,,,,,
November,1.19,0.53,2.79,2.75,2.29,3.19,,,,,,
December,2.82,1.34,4.09,0.39,1.62,1.13,,,,,,
Total,,22.35,31.03,24.16,21.39,28.05,,,,,,
Calc annual,7.22,22.35,31.03,24.16,21.39,28.05,9.34,0.00,0.00,0.00,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
