DUFFTOWN (GLENRINNES MANSE),,,,,,,,,,
Grid ref,NJ 27900 33711,Long,-3.20103,Lat,57.388086,Elevation,995,ft,,
Station no,RR3123,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.24,2.97,3.42,1.77,4.07,2.86,4.19,,
February,,1.47,2.84,4.21,6.73,3.41,2.01,,,
March,,1.53,0.75,4.06,3,1.99,2.93,,,
April,,2.41,3.14,1.58,1.51,2.32,1.26,,,
May,,2.22,2.86,6.35,4.52,0.96,2.87,,,
June,,3.3,5.04,4.01,1.17,3.21,4.01,,,
July,,2.83,7.3,5.86,0.83,6.12,6.79,,,
August,,3.84,2.3,3.11,1.89,6.63,8.18,,,
September,,5.03,2.57,2.99,2.95,4.36,3.36,,,
October,,4.26,1.23,6.46,6.7,4.46,1.95,,,
November,,5.22,1.64,4.77,1.69,2.11,4.76,,,
December,,5.54,3.46,5.59,6.56,3.59,5.24,,,
Total,,39.89,36.1,52.41,39.32,43.23,46.22,,,
,,,,,,,,,,
Manse 5 miles from Dufftown,,,,,,,,,,
