HOE-PUMPING-STATION,,,,,,,,,,
Grid ref,SU567167,Long,-1.19423,Lat,50.94697,Elevation,110,ft,,
Station no,698/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.97,2.77,4.55,3.33,4.11
February,,,,,,0.14,4.45,2.69,0.13,3.6
March,,,,,,0.5,2.39,1.63,3.16,2.28
April,,,,,,1.7,0.19,0.71,2.62,1.06
May,,,,,,0.27,1.23,2.51,0.42,1.02
June,,,,,,2.44,1.69,3.67,0.68,2.41
July,,,,,,3.66,5.42,1.75,2.08,4.56
August,,,,,,3,2.47,3.82,3.06,4.38
September,,,,,,3.69,3.74,5.14,0.09,5.57
October,,,,,,2.37,2.45,3.38,3.33,8.18
November,,,,,,0.85,3.11,3.17,3.86,6.05
December,,,,,,5.46,2.99,3.82,7.3,4.21
Total,,,,,,29.05,32.9,36.84,30.06,47.43
,,,,,,,,,,
,,,,,,,,,,
1958 Feb Inspection Good site,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Hoe P Sta SRC_ID 7548,,,,,,,,,,
Station used 1956-2004,,,,,,,,,,
