EWDEN (WIGHTWIZZLE),,,,,,,,,,,,
Grid ref,SK247956,Long,-1.629491,Lat,53.456579,,,,,,,
Station no,3138/5/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,5.09,4.28,7.37,,
February,,,,,,,,6.19,0.22,3.11,,
March,,,,,,,,3.35,1.93,3.02,,
April,,,,,,,,1.10,4.44,2.50,,
May,,,,,,,,4.05,0.93,2.32,,
June,,,,,,,,5.22,2.13,1.53,,
July,,,,,,,,5.65,2.26,4.64,,
August,,,,,,,,2.92,1.42,4.19,,
September,,,,,,,,4.46,0.07,4.12,,
October,,,,,,,,3.77,3.63,9.07,,
November,,,,,,,,1.04,6.02,6.66,,
December,,,,,,,,5.59,7.70,4.97,,
Total,,,,,,,,48.43,35.03,53.50,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.43,35.03,53.50,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,,
