"SPAXTON (BARNLANDS)",,,,,,,,,,,,
Grid ref,ST224368,Long,-3.110240,Lat,51.125204,,,,,,,
Station no,2081/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,3.20,4.19,3.79,,
February,,,,,,,,3.53,0.26,3.58,,
March,,,,,,,,1.11,3.93,2.00,,
April,,,,,,,,0.75,3.45,2.90,,
May,,,,,,,,3.21,0.86,1.86,,
June,,,,,,,,3.19,1.05,1.02,,
July,,,,,,,,1.89,2.21,4.63,,
August,,,,,,,,3.07,1.15,3.81,,
September,,,,,,,,4.29,0.22,3.79,,
October,,,,,,,,1.95,4.02,11.42,,
November,,,,,,,,3.38,5.43,3.83,,
December,,,,,,,,4.69,7.16,4.01,,
Total,,,,,,,,34.26,33.93,46.64,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.26,33.93,46.64,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
