GLENDEVON (BURNSFOOT BURN),,,,,,,,,,
Grid ref,NN908037,Long,-3.762255,Lat,56.213306,Elevation,1250,ft,,
Station no,5462/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,8.6,5.54,1.78,6.85
February,,,,,,,5.73,4.39,3.41,7.45
March,,,,,,,6.84,1.83,5.8,4.28
April,,,,,,,3.36,4.86,5.32,4.62
May,,,,,,,3.04,4.9,1.58,3.58
June,,,,,,,2.49,4.51,4.6,3.68
July,,,,,,,7.43,5.18,7.04,5.47
August,,,,,,,6.57,6.02,3.03,5.1
September,,,,,,,2.67,8.36,1.38,4.28
October,,,,,,3.78,5.27,2.84,6.6,7.55
November,,,,,,1.55,2.88,2.67,10.21,8.57
December,,,,,,7.17,8.24,10.99,13.87,9.23
Total,,,,,,,63.12,62.09,64.62,70.66
