CHELTENHAM (CEMETERY),,,,,,,,,,,,
Grid ref,SO972230,Long,-2.042106,Lat,51.905531,,,,,,,
Station no,2177/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,0.94,1.04,1.79,3.54,2.02,1.72,4.78,3.96,,
February,,,1.54,2.47,1.31,0.42,2.42,2.76,0.05,1.90,,
March,,,0.75,1.82,1.75,0.85,1.86,0.77,2.31,1.98,,
April,,,2.07,0.30,0.88,1.83,0.13,0.59,2.90,1.12,,
May,,,2.19,2.05,4.34,0.65,1.54,2.77,0.90,1.45,,
June,,1.80,1.96,3.27,3.93,1.85,1.03,3.78,1.13,2.16,,
July,,0.41,2.52,2.25,0.25,2.28,3.93,3.00,2.07,3.48,,
August,,4.02,3.12,4.49,0.57,4.87,4.05,1.90,1.06,3.14,,
September,,1.13,3.06,2.13,0.74,3.24,3.21,3.59,0.15,4.43,,
October,,4.68,2.22,2.63,1.32,1.43,1.36,2.51,2.14,4.44,,
November,,6.70,0.73,5.90,2.87,0.81,1.94,2.90,3.52,4.07,,
December,,3.75,0.91,2.16,2.89,3.02,2.56,2.61,5.50,2.36,,
Total,,,22.01,30.51,22.64,24.79,26.05,28.90,26.51,34.49,,
Calc annual,0.00,22.49,22.01,30.51,22.64,24.79,26.05,28.90,26.51,34.49,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
