CAPEL CURIG (GWYDYR),,,,,,,,,,,,
Grid ref,SH748574,Long,-3.871356,Lat,53.099068,,,,,,,
Station no,4346/4/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,1.76,8.34,7.93,7.54,16.48,8.87,8.80,11.67,,
February,,,4.97,6.43,3.71,1.01,7.52,14.50,2.02,12.59,,
March,,,2.74,7.09,2.52,3.24,6.59,3.43,4.26,2.58,,
April,,,4.54,2.29,4.04,2.25,1.08,2.18,8.71,4.23,,
May,,,3.14,4.77,7.72,1.32,3.83,7.61,1.65,2.09,,
June,,4.17,3.70,4.44,6.27,3.20,2.09,5.20,3.26,4.27,,
July,,1.26,5.66,7.58,1.67,9.33,8.83,7.06,4.69,7.12,,
August,,5.12,6.31,6.97,2.63,9.90,9.65,5.85,1.39,7.59,,
September,,6.57,7.20,10.85,4.28,5.45,11.50,9.57,0.92,7.03,,
October,,9.31,2.85,18.34,5.78,6.90,13.20,6.81,10.91,5.29,,
November,,5.16,8.36,16.04,2.97,3.13,4.36,2.99,11.10,18.04,,
December,,4.57,2.99,9.17,10.28,7.14,7.63,4.86,14.03,10.80,,
Total,,,54.22,102.31,59.80,60.41,92.76,78.93,71.74,93.30,,
Calc annual,0.00,36.16,54.22,102.31,59.80,60.41,92.76,78.93,71.74,93.30,,
Difference,NaN,NaN,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
