"KINGUSSIE NO. 2.",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5698,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,,1.55,2.12,2.95,2.66,5.59,1.66,2.16,2.11,,
February,,,1.45,2.45,2.15,2.00,,0.60,2.83,0.77,,
March,,,2.70,4.04,2.59,2.06,,2.48,1.38,2.65,,
April,,,1.54,1.46,1.45,2.96,2.02,1.79,1.07,,,
May,,,1.66,1.67,2.68,0.75,2.61,2.05,2.59,,,
June,,,3.17,1.86,1.27,0.60,1.53,2.05,0.70,,,
July,,1.39,1.89,0.75,2.11,4.21,4.00,1.80,5.17,,,
August,,1.61,2.78,1.12,2.30,3.81,2.25,3.64,2.10,2.21,,
September,,1.24,1.17,1.58,1.36,2.49,1.27,2.20,4.64,,,
October,,2.25,3.89,1.24,0.57,0.86,7.27,3.85,3.00,,,
November,,6.15,4.11,3.07,5.25,2.31,3.27,4.99,3.17,,,
December,,3.34,7.20,3.55,4.59,2.66,2.59,1.26,2.08,3.36,,
Total,,,33.11,24.91,29.27,27.37,,28.37,30.89,,,
Calc annual,0.00,15.98,33.11,24.91,29.27,27.37,32.40,28.37,30.89,11.10,,
Difference,NaN,NaN,-0.00,0.00,0.00,0.00,NaN,0.00,0.00,NaN,,
