ASPLEY GUISE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1169/5,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,1.62,1.81,1.58,0.75,3.61,3.43,2.66,5.11,1.90,,
February,,0.24,1.85,0.49,2.90,1.96,4.08,0.73,0.83,2.29,,
March,,2.13,2.73,1.82,0.48,1.66,3.40,0.29,1.80,2.31,,
April,,2.23,1.07,1.69,3.51,1.31,3.06,0.09,3.49,2.95,,
May,,5.18,2.14,0.67,2.34,1.26,4.06,1.83,1.50,2.20,,
June,,0.56,1.96,1.73,2.26,4.02,1.66,1.12,3.49,0.82,,
July,,2.99,3.82,1.43,0.68,6.83,1.89,1.70,2.60,3.18,,
August,,4.61,0.90,2.06,2.41,0.28,1.56,3.55,4.35,0.10,,
September,,2.15,2.11,2.72,4.41,2.88,1.41,1.16,0.64,1.08,,
October,,3.97,1.84,1.72,3.30,1.76,2.90,3.20,4.16,2.77,,
November,,1.57,1.77,2.04,3.95,2.36,1.95,2.64,3.90,7.64,,
December,,0.52,0.41,5.10,2.32,1.80,2.47,4.11,2.20,1.54,,
Total,,27.77,22.41,23.05,29.31,29.73,31.87,23.08,34.07,28.78,,
Calc annual,0.00,27.77,22.41,23.05,29.31,29.73,31.87,23.08,34.07,28.78,,
Difference,NaN,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
