"OLD WINDSOR (STRAIGHT ROAD)",,,,,,,,,,,,
Grid ref,SU987741,Long,-0.580798,Lat,51.457284,,,,,,,
Station no,781/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,1.35,0.79,0.97,2.43,3.46,1.52,2.68,2.24,2.24,,
February,,0.76,1.31,2.25,1.53,0.14,2.89,1.78,0.10,1.98,,
March,,2.41,0.30,2.04,0.94,0.53,0.90,1.35,2.19,1.10,,
April,,1.60,2.10,0.30,0.23,1.28,0.18,1.67,2.33,0.51,,
May,,2.44,1.46,3.23,3.99,0.18,1.02,2.48,0.50,1.87,,
June,,1.43,1.19,3.72,2.20,1.72,0.85,3.91,0.42,1.21,,
July,,0.47,3.04,2.62,0.36,4.21,4.15,2.04,1.92,3.44,,
August,,3.72,1.54,2.68,0.85,3.51,2.87,3.67,1.82,2.40,,
September,,3.00,1.62,2.04,1.90,2.59,2.40,3.42,0.06,2.71,,
October,,2.98,2.70,2.48,2.90,2.34,2.01,2.09,2.43,6.86,,
November,,2.83,1.36,4.35,2.22,0.46,2.63,2.00,2.07,3.87,,
December,,2.55,0.52,1.77,1.95,3.11,1.68,3.18,3.43,2.50,,
Total,,25.54,17.93,28.45,21.50,23.53,23.10,30.27,19.51,30.69,,
Calc annual,0.00,25.54,17.93,28.45,21.50,23.53,23.10,30.27,19.51,30.69,,
Difference,NaN,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
