TYNEMOUTH PERCY PARK,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR7488,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,2.81,1.55,2.31,4.28,1.76,,,,,,,
February,2.36,0.83,2.30,0.48,0.91,,,,,,,
March,0.69,1.78,1.80,2.35,2.18,,,,,,,
April,1.99,1.51,0.11,2.59,0.69,,,,,,,
May,3.21,0.93,2.55,3.31,1.46,,,,,,,
June,1.24,5.04,4.36,1.12,3.26,,,,,,,
July,1.92,0.68,4.25,0.57,4.01,,,,,,,
August,2.47,2.78,4.45,0.77,2.10,,,,,,,
September,0.81,2.39,2.04,4.00,1.91,,,,,,,
October,3.46,2.18,3.80,2.04,,,,,,,,
November,2.93,3.37,1.75,1.56,,,,,,,,
December,1.89,2.80,1.29,1.17,,,,,,,,
Total,25.78,25.84,31.01,24.24,,,,,,,,
Calc annual,25.78,25.84,31.01,24.24,18.28,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
