"STRESTON FIELDS, HINCKLEY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8720,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,,,,,,,2.11,3.35,1.84,2.99,,
February,,,,,,,2.50,1.31,1.59,2.06,,
March,,,,,,,1.32,2.80,2.24,1.76,,
April,,,,,,,1.30,2.69,1.20,1.37,,
May,,,,,,,1.90,2.14,0.80,4.55,,
June,,,,,,,2.00,2.05,0.24,1.49,,
July,,,,,,,2.34,2.49,0.08,0.58,,
August,,,,,,,4.68,2.64,5.06,1.08,,
September,,,,,,,5.77,2.57,2.22,2.96,,
October,,,,,,,2.33,3.01,2.38,0.90,,
November,,,,,,,2.37,0.63,1.74,2.07,,
December,,,,,,,2.03,1.60,3.78,3.66,,
Total,,,,,,,30.65,27.28,23.17,25.47,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,30.65,27.28,23.17,25.47,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,,
