GILLINGHAM,,,,,,,,,,
Grid ref,TQ778673,Long,0.55333709,Lat,51.37691,Elevation,235,ft,,
Station no,378/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.23,2.75,4.25,1.15,1.63,,
February,,,,1.7,1.8,0.33,2.97,1.82,,
March,,,0.24,2.2,1.01,0.5,1.04,1.23,,
April,,,2.12,0.25,0.17,1.11,0.15,1.44,,
May,,,1.42,2,3.9,0.44,1.14,1.7,,
June,,,1.86,3.28,2.15,1.81,0.99,3.88,,
July,,,2.92,2.1,2.22,4.35,2.95,2.25,,
August,,,1.25,2.73,1.77,2.38,1.9,4.43,,
September,,,2.28,1.15,2.27,1.38,2.29,4.4,,
October,,,2.2,1.53,4.16,0.94,1.18,3,,
November,,,0.96,4.45,0.54,0.49,3.33,1.89,,
December,,,0.65,1.43,1.49,2.24,2.01,3.2,,
Total,,,,24.05,24.23,20.22,21.1,30.87,,
