MONKEN HADLEY (BARNET),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR7924,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,,,1.49,2.75,3.06,2.44,3.96,1.99,0.99,1.26,,
February,,,1.63,4.02,1.61,3.10,0.73,0.66,1.31,2.41,,
March,,,1.41,1.21,1.74,1.71,1.85,1.90,3.74,2.07,,
April,,,3.19,1.62,1.24,2.47,1.79,0.97,2.17,2.17,,
May,,,1.30,1.82,1.32,2.54,4.74,1.67,1.32,3.57,,
June,,,2.43,2.42,2.80,2.81,0.71,0.80,2.40,2.39,,
July,,,1.93,2.82,2.18,0.24,2.77,1.21,4.63,3.90,,
August,,,1.38,1.43,1.47,1.49,0.96,1.76,3.68,2.99,,
September,,,3.24,4.55,1.62,4.55,1.56,2.60,0.96,1.73,,
October,,,6.17,2.11,1.19,4.51,3.22,1.37,1.30,3.91,,
November,,,2.94,3.57,2.40,3.60,2.94,3.53,4.58,1.18,,
December,,,3.18,1.07,3.30,1.13,4.58,1.43,1.05,1.60,,
Total,,,30.29,29.39,23.93,30.59,29.81,19.89,28.13,29.18,,
Calc annual,0.00,0.00,30.29,29.39,23.93,30.59,29.81,19.89,28.13,29.18,,
Difference,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
