EAST MALLING CLARE HOUSE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8316,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,,,2.66,1.10,3.43,0.74,6.02,,,,
February,,,,1.74,0.95,0.89,2.57,1.87,,,,
March,,,,1.53,0.63,0.53,2.26,3.01,,,,
April,,,,0.68,1.81,1.29,1.82,2.40,,,,
May,,,,1.16,0.93,1.28,1.45,1.80,,,,
June,,,,1.75,2.46,3.46,1.21,0.81,,,,
July,,,,1.63,1.36,4.47,0.46,2.23,,,,
August,,,,1.83,2.73,2.14,2.38,2.65,,,,
September,,,,2.09,3.51,2.24,3.00,0.92,,,,
October,,,,3.31,1.90,3.68,1.50,2.26,,,,
November,,,,1.70,3.57,4.68,2.56,5.08,,,,
December,,,,0.38,2.16,1.10,6.63,2.51,,,,
Total,,,,20.46,23.11,29.19,26.58,31.56,,,,
Calc annual,0.00,0.00,0.00,20.46,23.11,29.19,26.58,31.56,0.00,0.00,,
Difference,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,NaN,NaN,,
