BEXLEY HEATH ROOKWOOD,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8301,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,2.30,1.80,2.55,,,,,,,,,
February,0.56,0.23,1.60,,,,,,,,,
March,1.12,1.22,1.27,,,,,,,,,
April,2.37,1.44,2.59,,,,,,,,,
May,0.52,1.05,0.78,,,,,,,,,
June,1.53,0.28,1.57,,,,,,,,,
July,3.54,0.16,3.03,,,,,,,,,
August,1.46,1.51,2.00,,,,,,,,,
September,4.17,1.57,1.96,,,,,,,,,
October,0.90,0.95,1.16,,,,,,,,,
November,0.84,1.68,1.37,,,,,,,,,
December,2.09,1.20,2.68,,,,,,,,,
Total,21.40,13.09,22.56,,,,,,,,,
Calc annual,21.40,13.09,22.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
