"CAMBRIDGE (N.I.A.B)",,,,,,,,,,,,
Grid ref,TL434604,Long,0.097930,Lat,52.223145,,,,,,,
Station no,1205/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.14,1.25,0.86,0.85,1.62,2.92,1.09,2.04,2.59,1.91,,
February,2.40,0.55,1.33,1.74,1.28,0.56,2.16,2.46,0.11,1.11,,
March,2.99,2.48,0.47,2.06,1.34,0.48,1.75,0.88,2.37,1.50,,
April,2.82,1.42,1.92,0.27,0.46,1.31,0.04,1.69,1.59,0.21,,
May,2.50,1.37,1.69,3.67,2.40,0.64,0.81,2.50,0.50,0.92,,
June,1.30,2.53,2.14,2.15,2.67,1.92,1.49,5.05,1.88,2.23,,
July,1.62,0.62,1.98,2.45,0.36,3.04,2.39,3.48,3.11,2.88,,
August,3.74,3.48,2.05,3.57,1.52,4.26,3.57,2.44,0.77,2.68,,
September,2.25,2.42,1.42,1.52,1.81,1.24,3.08,2.63,0.04,4.28,,
October,1.02,1.91,2.77,1.83,2.66,1.25,1.47,1.81,1.69,4.14,,
November,3.13,2.71,1.17,3.09,1.46,0.87,1.34,1.42,1.16,3.80,,
December,1.30,1.68,0.55,1.81,1.54,2.11,1.68,2.29,2.90,2.91,,
Total,27.21,22.42,18.35,25.01,19.12,20.60,20.87,28.69,18.71,28.57,,
Calc annual,27.21,22.42,18.35,25.01,19.12,20.60,20.87,28.69,18.71,28.57,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
