TARLAND SCHOOL,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5641/2,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,,4.35,2.98,1.97,7.18,,,,,,,
February,,1.53,1.88,2.44,1.28,,,,,,,
March,,1.27,0.81,1.14,0.28,,,,,,,
April,,1.69,1.51,1.36,1.50,,,,,,,
May,,2.74,4.53,2.84,3.87,,,,,,,
June,,1.05,2.19,2.26,,,,,,,,
July,,2.63,1.39,2.79,,,,,,,,
August,3.76,2.22,3.66,1.36,,,,,,,,
September,0.92,2.80,2.70,4.86,,,,,,,,
October,5.20,5.37,2.33,4.43,,,,,,,,
November,5.37,0.67,3.54,4.38,,,,,,,,
December,1.24,1.81,0.87,3.08,,,,,,,,
Total,,28.13,28.39,32.91,,,,,,,,
Calc annual,16.49,28.13,28.39,32.91,14.11,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,-0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
