"MERSHAM",,,,,,,,,,,,
Grid ref,TR054400,Long,0.933732,Lat,51.122450,,,,,,,
Station no,273/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,1.95,3.85,2.97,3.34,,
February,,,,,,,4.31,3.47,0.03,1.75,,
March,,,,,,,1.28,1.87,1.89,1.76,,
April,,,,,,,0.53,1.43,2.93,0.82,,
May,,,,,,,1.32,2.20,0.81,1.32,,
June,,,,,,,1.03,4.64,1.61,1.09,,
July,,,,,,,3.40,2.35,2.82,2.40,,
August,,,,,,,3.18,6.27,1.20,4.99,,
September,,,,,,,3.86,2.29,0.18,3.23,,
October,,,,,,,1.40,4.15,3.25,8.21,,
November,,,,,,,4.35,2.23,4.82,6.36,,
December,,,,,,,1.75,5.16,6.99,4.05,,
Total,,,,,,,28.36,39.91,29.50,39.32,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,28.36,39.91,29.50,39.32,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
