TORKSEY PUMPING STATION,,,,,,,,,,,,,,,
Grid ref,SK836780,Long,-0.747,Lat,53.292,Elevation,16,ft,,,,,,,
Station no,2583,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,1.55,2.41,3.54,1.52,0.78,2.24,1.66,0.72,0.88,1.54,3.13,1.23,2.47,2.26,3.91
February,2.29,2.98,1.03,0.27,3.81,2.98,0.35,1.32,2.42,2.14,0.84,1.82,2.91,0.38,1.55
March,1.18,3.95,0.43,1.17,0.66,2.89,2.18,0.68,1.47,2.39,0.88,1.50,1.55,1.40,1.17
April,1.31,1.66,1.75,1.71,2.46,0.88,0.94,1.86,0.26,0.87,1.34,0.19,0.23,1.49,1.24
May,1.23,0.90,1.73,1.42,1.83,3.08,1.45,2.57,3.65,2.78,0.53,1.16,1.85,0.44,0.64
June,4.02,2.93,2.43,1.44,1.39,0.79,1.63,1.67,3.02,2.81,4.14,1.49,5.01,0.65,0.80
July,2.24,1.25,1.28,2.23,2.14,0.73,0.31,2.16,2.08,0.34,4.43,4.41,5.01,1.43,3.38
August,4.01,0.26,3.01,1.45,1.92,5.36,1.56,1.69,3.75,0.37,5.51,2.87,1.88,0.60,3.84
September,2.76,0.56,1.96,0.81,3.14,1.57,1.96,1.22,2.23,0.52,1.59,4.14,1.58,0.03,3.05
October,1.23,0.38,1.52,2.86,0.87,1.72,2.01,2.09,2.87,1.16,1.10,0.86,1.60,1.71,4.52
November,4.39,1.15,1.21,2.82,4.10,5.09,1.73,1.31,4.41,1.17,0.78,2.30,0.81,1.88,3.35
December,2.56,1.79,3.04,1.77,1.43,1.34,1.64,0.90,2.54,1.41,1.40,0.98,2.81,3.02,2.90
Total,28.77,20.22,22.93,19.47,24.53,28.67,17.42,18.19,29.58,17.50,25.67,22.95,27.71,15.29,30.35
,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/265,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/271,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
# The gauge was in Torksey village until the end of 1945.,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
# The station is still active according to MIDAS.,,,,,,,,,,,,,,,
