SLOUGH STOKE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR7084,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,,,2.93,1.33,3.45,0.98,,,,,
February,,,,1.16,1.59,1.03,2.05,,,,,
March,,,,1.87,0.53,0.32,2.68,,,,,
April,,,,0.43,1.00,1.26,1.81,,,,,
May,,,,1.50,0.42,2.49,0.50,,,3.00,,
June,,,3.35,1.40,1.64,3.62,1.60,,,,,
July,,,1.93,1.87,2.52,5.34,1.41,,,,,
August,,,0.84,2.57,1.14,1.26,1.61,,,,,
September,,,,2.94,3.52,1.97,4.47,,,,,
October,,,,2.52,2.50,6.26,1.67,,,,,
November,,,,2.02,2.66,2.32,3.61,,,,,
December,,,,0.43,1.73,0.85,5.61,,,,,
Total,,,,21.64,20.58,30.17,28.00,,,,,
Calc annual,0.00,0.00,6.12,21.64,20.58,30.17,28.00,0.00,0.00,3.00,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
