"WEST LINTON RUTHERFORD HOUSE",,,,,,,,,,,,
Grid ref,NT159544,Long,-3.342267,Lat,55.775587,,,,,,,
Station no,RR4326,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.80,2.67,2.67,6.71,3.78,1.78,4.76,2.53,4.93,3.71,,
February,3.65,1.43,1.44,5.99,3.49,2.86,1.88,2.66,2.74,2.83,,
March,1.55,2.84,2.46,5.61,2.00,4.21,3.78,3.67,5.41,3.31,,
April,2.80,2.62,1.87,1.84,4.28,2.93,1.87,2.06,1.97,1.36,,
May,1.92,2.38,3.91,2.65,3.88,1.57,6.43,3.42,2.82,2.24,,
June,3.53,2.10,1.62,1.93,2.67,1.23,1.71,2.98,1.59,2.43,,
July,4.19,1.15,3.04,4.12,2.92,2.94,2.52,3.05,3.27,4.98,,
August,4.74,5.15,1.59,4.44,4.33,3.02,6.44,5.07,3.11,3.01,,
September,3.55,1.51,2.93,2.55,1.77,3.14,1.10,1.36,5.24,3.16,,
October,5.74,2.91,2.28,8.11,1.44,2.87,9.67,8.97,1.26,6.06,,
November,4.95,4.71,1.61,2.99,2.13,3.38,5.81,2.52,2.87,1.63,,
December,7.63,5.28,3.94,2.40,4.36,2.80,2.87,4.83,1.33,5.44,,
Total,49.05,34.75,29.36,49.34,37.05,32.73,48.84,43.12,36.54,40.16,,
Calc annual,49.05,34.75,29.36,49.34,37.05,32.73,48.84,43.12,36.54,40.16,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
