RYME INTRINSECA (THE COURT HOUSE),,,,,,,,,,,,
Grid ref,ST581109,Long,-2.597150,Lat,50.896050,,,,,,,
Station no,1543/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,1.81,3.37,4.64,2.63,3.46,5.25,3.52,,
February,,,,3.05,2.73,0.17,5.28,3.72,0.27,3.84,,
March,,,,4.13,1.57,1.70,2.30,1.14,3.30,1.90,,
April,,,,0.20,0.76,1.23,0.39,0.61,2.84,2.60,,
May,,,,2.01,4.27,0.77,2.04,2.81,1.15,1.17,,
June,,,,3.14,2.09,2.09,1.51,3.92,0.72,1.64,,
July,,,,2.61,3.68,1.65,3.64,1.71,1.57,3.45,,
August,,,,2.63,0.70,4.08,2.58,2.88,1.61,4.12,,
September,,,,3.31,0.91,4.99,3.07,5.44,0.09,3.96,,
October,,,,2.01,2.46,2.25,2.54,3.02,3.02,10.37,,
November,,,,8.59,4.93,0.88,2.23,2.98,5.60,4.90,,
December,,,,3.28,5.28,4.90,3.20,4.61,9.46,3.38,,
Total,,,,36.77,32.75,29.35,31.41,36.30,34.88,44.85,,
Calc annual,0.00,0.00,0.00,36.77,32.75,29.35,31.41,36.30,34.88,44.85,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
