OKEHAMPTON (PLEASURE GROUNDS),,,,,,,,,,,,
Grid ref,SX591948,Long,-3.998056,Lat,50.735675,,,,,,,
Station no,1851/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,6.17,5.34,5.94,8.43,4.84,,
February,,,,,,0.26,9.84,6.99,0.46,6.42,,
March,,,,,,2.79,5.04,1.14,6.47,3.42,,
April,,,,,,1.55,0.41,1.57,5.22,4.05,,
May,,,,,,0.99,2.32,4.76,1.78,2.46,,
June,,,,,,2.74,2.34,3.21,1.40,1.91,,
July,,,,,,4.01,5.58,3.65,3.03,6.04,,
August,,,,,,4.04,4.86,5.41,1.69,3.52,,
September,,,,,,7.88,5.36,6.69,0.54,9.85,,
October,,,,,,2.70,4.44,5.85,6.97,14.55,,
November,,,,,,2.68,3.32,4.27,10.70,7.95,,
December,,,,,,7.26,4.70,6.06,12.89,8.19,,
Total,,,,,,43.07,53.55,55.48,59.58,73.20,,
Calc annual,0.00,0.00,0.00,0.00,0.00,43.07,53.55,55.54,59.58,73.20,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.06,0.00,0.00,,
